id,name,disambiguation
https://musicbrainz.org/genre/18797864-41b0-4602-8241-adbee761774c,2 tone,
https://musicbrainz.org/genre/db325bd7-ae64-40bd-966a-a3af3cef8bb9,2-step,
https://musicbrainz.org/genre/bdc421e1-0164-4c14-9927-4217bfb25667,aak,
https://musicbrainz.org/genre/6e319459-3520-4079-8755-d8c9f35ce78e,abhang,
https://musicbrainz.org/genre/62d54c07-87f0-428c-9d4a-62129ef6fc14,aboio,
https://musicbrainz.org/genre/e009a9c2-c20c-40d9-9bb6-4e098676ea9c,abstract hip hop,
https://musicbrainz.org/genre/c9c58bd8-bf69-428e-8c71-9e34d5916eda,acholitronix,
https://musicbrainz.org/genre/c755b4da-de34-4d64-909a-9447833315ce,acid breaks,
https://musicbrainz.org/genre/54c01942-22fd-4184-9877-1db0089b18f1,acid house,
https://musicbrainz.org/genre/7dc2b20f-3953-4874-b9bf-41b8ba06d20c,acid jazz,
https://musicbrainz.org/genre/ef063b60-3206-466c-a7d8-7d317fcdf9fc,acid rock,
https://musicbrainz.org/genre/ba64013e-27bb-4f14-a530-8d25b296e0da,acid techno,
https://musicbrainz.org/genre/267433bc-721d-4d60-8455-e6ed1e0b922f,acid trance,
https://musicbrainz.org/genre/4bcbf8f0-e8bc-403c-93d4-cf2b4385cecd,acidcore,
https://musicbrainz.org/genre/0464c047-e7df-4555-a4e0-86c8620b2671,acousmatic,
https://musicbrainz.org/genre/37f85b9c-c3fc-4b5a-8545-51aeb78c8786,acoustic blues,
https://musicbrainz.org/genre/9f1412ce-d501-4312-8336-37052f5d2ba9,acoustic chicago blues,
https://musicbrainz.org/genre/00055e8b-b951-46e2-af1e-58b5624e7952,acoustic rock,
https://musicbrainz.org/genre/1fe1e0e3-b1fd-4b56-ab97-5a0517341579,acoustic texas blues,
https://musicbrainz.org/genre/061610f9-6207-49d7-9a7c-b176eca7a3df,adhunik geet,
https://musicbrainz.org/genre/d2d6de50-4dd8-4838-92ac-aa6d1e600bba,afoxê,
https://musicbrainz.org/genre/7f1133a5-0d7b-43e6-b238-7dbf2a7de1e2,african blues,
https://musicbrainz.org/genre/07041357-bba4-415f-8b9b-5423ae05f907,afro house,
https://musicbrainz.org/genre/41569e0d-9b3f-4ad0-8ddc-85da7cf66e5b,afro rock,
https://musicbrainz.org/genre/243975aa-1250-4429-8bd3-97080af44cf7,afro trap,
https://musicbrainz.org/genre/cdb11433-1ff1-4c88-be16-717567e1342f,afro-cuban jazz,
https://musicbrainz.org/genre/fc00175b-2be9-4d73-ba91-27b3ca827223,afro-funk,
https://musicbrainz.org/genre/6f33d775-b4e2-473c-a7db-e34c525cc52d,afro-jazz,
https://musicbrainz.org/genre/a7e0229c-6e53-45f1-a6f2-a791e78b159e,afro-zouk,
https://musicbrainz.org/genre/fcc58a18-9326-4c92-8b29-c294d44379c3,afrobeat,funk/soul + West African sounds
https://musicbrainz.org/genre/b8793fdb-bbc8-4418-a6f8-05eafbbe07ef,afrobeats,West African urban/pop music
https://musicbrainz.org/genre/d42b567f-0952-424b-959d-bee6e5961cc0,afropiano,
https://musicbrainz.org/genre/52349b68-9cad-496e-8785-00d53f410246,afroswing,
https://musicbrainz.org/genre/c6d1e78b-ac82-4bb8-89d5-21e3226dc906,agbadza,
https://musicbrainz.org/genre/b8ae0a3c-5826-4104-9663-fe8f828effa9,agbekor,
