genre_id,name,disambiguation,relations_wiki
https://musicbrainz.org/genre/18797864-41b0-4602-8241-adbee761774c,2 tone,,http://www.wikidata.org/entity/Q209498
https://musicbrainz.org/genre/db325bd7-ae64-40bd-966a-a3af3cef8bb9,2-step,,http://www.wikidata.org/entity/Q1751409
https://musicbrainz.org/genre/bdc421e1-0164-4c14-9927-4217bfb25667,aak,,http://www.wikidata.org/entity/Q710673
https://musicbrainz.org/genre/6e319459-3520-4079-8755-d8c9f35ce78e,abhang,,http://www.wikidata.org/entity/Q2641862
https://musicbrainz.org/genre/62d54c07-87f0-428c-9d4a-62129ef6fc14,aboio,,http://www.wikidata.org/entity/Q6039799
https://musicbrainz.org/genre/e009a9c2-c20c-40d9-9bb6-4e098676ea9c,abstract hip hop,,http://www.wikidata.org/entity/Q98528482
https://musicbrainz.org/genre/c9c58bd8-bf69-428e-8c71-9e34d5916eda,acholitronix,,http://www.wikidata.org/entity/Q124851801
https://musicbrainz.org/genre/c755b4da-de34-4d64-909a-9447833315ce,acid breaks,,http://www.wikidata.org/entity/Q2634010
https://musicbrainz.org/genre/54c01942-22fd-4184-9877-1db0089b18f1,acid house,,http://www.wikidata.org/entity/Q341364
https://musicbrainz.org/genre/7dc2b20f-3953-4874-b9bf-41b8ba06d20c,acid jazz,,http://www.wikidata.org/entity/Q221772
https://musicbrainz.org/genre/ef063b60-3206-466c-a7d8-7d317fcdf9fc,acid rock,,http://www.wikidata.org/entity/Q236932
https://musicbrainz.org/genre/ba64013e-27bb-4f14-a530-8d25b296e0da,acid techno,,http://www.wikidata.org/entity/Q341395
https://musicbrainz.org/genre/267433bc-721d-4d60-8455-e6ed1e0b922f,acid trance,,http://www.wikidata.org/entity/Q481900
https://musicbrainz.org/genre/4bcbf8f0-e8bc-403c-93d4-cf2b4385cecd,acidcore,,http://www.wikidata.org/entity/Q341396
https://musicbrainz.org/genre/0464c047-e7df-4555-a4e0-86c8620b2671,acousmatic,,http://www.wikidata.org/entity/Q423918
https://musicbrainz.org/genre/37f85b9c-c3fc-4b5a-8545-51aeb78c8786,acoustic blues,,http://www.wikidata.org/entity/Q65936357
https://musicbrainz.org/genre/9f1412ce-d501-4312-8336-37052f5d2ba9,acoustic chicago blues,,http://www.wikidata.org/entity/Q106641530
https://musicbrainz.org/genre/00055e8b-b951-46e2-af1e-58b5624e7952,acoustic rock,,http://www.wikidata.org/entity/Q65936391
https://musicbrainz.org/genre/1fe1e0e3-b1fd-4b56-ab97-5a0517341579,acoustic texas blues,,http://www.wikidata.org/entity/Q98528141
https://musicbrainz.org/genre/061610f9-6207-49d7-9a7c-b176eca7a3df,adhunik geet,,http://www.wikidata.org/entity/Q55642856
https://musicbrainz.org/genre/d2d6de50-4dd8-4838-92ac-aa6d1e600bba,afoxê,,http://www.wikidata.org/entity/Q383530
https://musicbrainz.org/genre/7f1133a5-0d7b-43e6-b238-7dbf2a7de1e2,african blues,,http://www.wikidata.org/entity/Q2907328
https://musicbrainz.org/genre/07041357-bba4-415f-8b9b-5423ae05f907,afro house,,http://www.wikidata.org/entity/Q388100
https://musicbrainz.org/genre/41569e0d-9b3f-4ad0-8ddc-85da7cf66e5b,afro rock,,http://www.wikidata.org/entity/Q3606268
https://musicbrainz.org/genre/243975aa-1250-4429-8bd3-97080af44cf7,afro trap,,http://www.wikidata.org/entity/Q26234147
https://musicbrainz.org/genre/cdb11433-1ff1-4c88-be16-717567e1342f,afro-cuban jazz,,http://www.wikidata.org/entity/Q3163340
https://musicbrainz.org/genre/fc00175b-2be9-4d73-ba91-27b3ca827223,afro-funk,,http://www.wikidata.org/entity/Q106641536
https://musicbrainz.org/genre/6f33d775-b4e2-473c-a7db-e34c525cc52d,afro-jazz,,http://www.wikidata.org/entity/Q6168369
https://musicbrainz.org/genre/a7e0229c-6e53-45f1-a6f2-a791e78b159e,afro-zouk,,http://www.wikidata.org/entity/Q16525381
https://musicbrainz.org/genre/fcc58a18-9326-4c92-8b29-c294d44379c3,afrobeat,funk/soul + West African sounds,http://www.wikidata.org/entity/Q388296
https://musicbrainz.org/genre/b8793fdb-bbc8-4418-a6f8-05eafbbe07ef,afrobeats,West African urban/pop music,http://www.wikidata.org/entity/Q25099840
https://musicbrainz.org/genre/d42b567f-0952-424b-959d-bee6e5961cc0,afropiano,,http://www.wikidata.org/entity/Q116745991
https://musicbrainz.org/genre/52349b68-9cad-496e-8785-00d53f410246,afroswing,,http://www.wikidata.org/entity/Q85740017
https://musicbrainz.org/genre/c6d1e78b-ac82-4bb8-89d5-21e3226dc906,agbadza,,http://www.wikidata.org/entity/Q30632442
https://musicbrainz.org/genre/b8ae0a3c-5826-4104-9663-fe8f828effa9,agbekor,,http://www.wikidata.org/entity/Q4691650
https://musicbrainz.org/genre/c844c144-90a8-4288-981e-e38275592688,aggrotech,,http://www.wikidata.org/entity/Q1091450
https://musicbrainz.org/genre/4802e6e4-f403-41d1-8e58-76e5cf4df81d,ahwash,,http://www.wikidata.org/entity/Q4696445
https://musicbrainz.org/genre/50cc5641-b4f9-40b7-bf7a-6d903ac6c1c5,aita,,http://www.wikidata.org/entity/Q22949256
https://musicbrainz.org/genre/aebbce35-0e8b-40e9-b04c-bebbbda124d0,akishibu-kei,,http://www.wikidata.org/entity/Q11282754
https://musicbrainz.org/genre/0f8d3ff4-8cda-42c4-b462-10352cd01606,al jeel,,http://www.wikidata.org/entity/Q2610186
https://musicbrainz.org/genre/998efb76-2f98-41c8-8c5f-74c32e405e9f,algerian chaabi,,http://www.wikidata.org/entity/Q2961766
https://musicbrainz.org/genre/e0a9d0d1-b86f-4344-82a9-022a84627087,algorave,,http://www.wikidata.org/entity/Q16002495
https://musicbrainz.org/genre/e367c884-d94d-4fba-abc4-8ac51d167ccf,alloukou,,http://www.wikidata.org/entity/Q16526296
https://musicbrainz.org/genre/ef1d11cc-e70f-4885-ad6c-103f060d33b2,alpenrock,,http://www.wikidata.org/entity/Q5389389
https://musicbrainz.org/genre/5f9cba3d-1a9f-46cd-8c49-7ed78d1f3354,alternative country,,http://www.wikidata.org/entity/Q438476
https://musicbrainz.org/genre/8301f73c-9166-4108-bfeb-4fd22dc19083,alternative dance,,http://www.wikidata.org/entity/Q2187392
https://musicbrainz.org/genre/0b48a36c-630f-4ee7-8cf3-480e3dd8be65,alternative folk,,http://www.wikidata.org/entity/Q28401204
https://musicbrainz.org/genre/924943cd-73c8-45c0-96eb-74f2a15e5d6e,alternative hip hop,,http://www.wikidata.org/entity/Q438503
https://musicbrainz.org/genre/7983ff25-ddf9-411e-a7f9-6cca238bff79,alternative metal,,http://www.wikidata.org/entity/Q20378
https://musicbrainz.org/genre/7c4d0994-4c49-4c74-8763-df27fc0084cc,alté,,http://www.wikidata.org/entity/Q110592306
https://musicbrainz.org/genre/d3ebe947-7c03-43f5-b333-09379881b0f6,alternative pop,,http://www.wikidata.org/entity/Q105338947
https://musicbrainz.org/genre/e096efc6-6c9c-4240-b627-d7bbb5e8fa2a,alternative punk,,http://www.wikidata.org/entity/Q65936979
https://musicbrainz.org/genre/4e03fb35-d571-4111-824d-88c9f8a3d0c9,alternative r&b,,http://www.wikidata.org/entity/Q7118426
https://musicbrainz.org/genre/ceeaa283-5d7b-4202-8d1d-e25d116b2a18,alternative rock,,http://www.wikidata.org/entity/Q11366
https://musicbrainz.org/genre/de3f8f85-1d8a-499f-9a1e-edad65a26dad,amapiano,,http://www.wikidata.org/entity/Q85741139
